,theta_0,theta_1,t_miqp,obj_miqp,s_miqp,t_qp,obj_qp,s_qp,t_qp_dt,obj_qp_dt,s_qp_dt,t_qp_rf,obj_qp_rf,s_qp_rf
868,0.9399962000152282,0.5219369110604841,0.08237791061401367,0.9961109714977976,2,0.003898143768310547,0.9963031719705849,2,0.0034389495849609375,0.9961115133442522,2,0.003329038619995117,0.9961115133442522,2
869,0.9275303369528052,0.12131548133422776,0.046525001525878906,0.7046237296632987,2,0.0037310123443603516,0.7135855211488316,2,0.003216981887817383,0.7135855211488316,2,0.002016782760620117,0.7046237446938872,2
870,0.8241198040512132,0.19281894735711602,0.04944300651550293,0.5453637667496272,2,0.0038759708404541016,0.5453637716692701,2,0.003726959228515625,0.5453637716692701,2,0.0032510757446289062,0.5453637716692701,2
871,0.3197948973577729,0.6651245905638191,0.05872011184692383,0.4044379841131766,2,0.004274845123291016,0.4044379907210163,2,0.0036859512329101562,0.4044379907210163,2,0.003834962844848633,0.4044379907210163,2
872,0.875285289819041,0.2001763331460955,0.03945612907409668,0.6349628495341595,2,0.003914833068847656,0.6349628544487811,2,0.0033621788024902344,0.6349628544487811,2,0.003381967544555664,0.6349628544487811,2
873,0.9125981098941927,0.48242267650004433,0.07935404777526855,0.9011846499257494,2,0.0031130313873291016,0.9682408874918254,2,0.00010013580322265625,,4,0.002223968505859375,0.9011984238533484,2
874,0.5326427621196776,0.31615210839017116,0.07093501091003418,0.23270443920329661,2,0.004374027252197266,0.23270566216594016,2,0.0033249855041503906,0.23270566216594016,2,0.0032830238342285156,0.23270566216594016,2
875,0.32175863281189065,0.2978990491232999,0.08582615852355957,0.07942178727929965,2,0.0042688846588134766,0.07942409800181696,2,0.003509044647216797,0.07942409800181696,2,0.003367900848388672,0.07942409800181696,2
876,0.7006650135893472,0.5884858120078065,0.04587602615356445,0.6907321895215149,2,0.004408121109008789,0.6907359490044271,2,0.0037660598754882812,0.6907359490044271,2,0.003844022750854492,0.6907359490044271,2
877,0.9038060067359642,0.9811149980943589,0.07330584526062012,1.6699458112030927,2,0.0038809776306152344,1.669948117857966,2,0.0033998489379882812,1.669948117857966,2,0.0032432079315185547,1.669948117857966,2
878,0.3217323671023963,0.2305359285220694,0.09499001502990723,0.05566185191449963,2,0.004683971405029297,0.05566510056351704,2,0.0019481182098388672,0.06109279610506671,2,0.0042340755462646484,0.05566510056351704,2
879,0.7370801367773028,0.0643479420545836,0.03942608833312988,0.3819895648359776,2,0.00457000732421875,0.3819895694896855,2,0.0033960342407226562,0.3819895694896855,2,0.0036139488220214844,0.3819895694896855,2
880,0.29853096671913815,0.3389318232848051,0.1252899169921875,0.08770330080895763,2,0.004495143890380859,0.08771042240881385,2,0.003841876983642578,0.08771042240881385,2,0.004058122634887695,0.08771042240881385,2
881,0.9337350667058008,0.03468641562306729,0.031156063079833984,0.7026234515236097,2,0.0041081905364990234,0.710459731186242,2,0.0033130645751953125,0.710459731186242,2,0.0019600391387939453,0.7026236215964581,2
882,0.8972921119892776,0.9062273493071229,0.07844901084899902,1.5019349131635704,2,0.005132913589477539,1.5019309428322978,2,0.004137992858886719,1.5019309428322978,2,0.0043179988861083984,1.5019309428322978,2
883,0.21603832111787258,0.9712293778770553,0.051820993423461914,0.8225962745946909,2,0.02769303321838379,0.8225890447002701,2,0.02585005760192871,0.8225890447002701,2,0.025985002517700195,0.8225890447002701,2
884,0.8290998952095199,0.25354006532583717,0.05867481231689453,0.5804119000578901,2,0.0037670135498046875,0.5804119049974351,2,0.0031499862670898438,0.5804119049974351,2,0.003162860870361328,0.5804119049974351,2
885,0.6653579843496005,0.0716524113864867,0.04515504837036133,0.2898376765742983,2,0.004241943359375,0.28983768132884635,2,0.003656148910522461,0.28983768132884635,2,0.003381013870239258,0.28983768132884635,2
886,0.07655134377584438,0.20420752267385944,0.06239008903503418,0.007161573330069425,2,0.020240068435668945,0.00716159953596931,2,0.01936197280883789,0.00716159953596931,2,0.019687891006469727,0.00716159953596931,2
887,0.48708617510722996,0.3573401794050082,0.0747990608215332,0.21645207740214045,2,0.0040590763092041016,0.21645207905325278,2,0.0037031173706054688,0.21645207905325278,2,0.0038471221923828125,0.21645207905325278,2
888,0.40275724638386456,0.8363382913132786,0.05605792999267578,0.6910459780384496,2,0.00418400764465332,0.6910459829849327,2,0.00368499755859375,0.6910459829849327,2,0.004071950912475586,0.6910459829849327,2
889,0.35836841128506847,0.5639617098233287,0.03491020202636719,0.3777983989941174,2,0.0038509368896484375,0.377798405492547,2,0.003351926803588867,0.377798405492547,2,0.003532886505126953,0.377798405492547,2
890,0.023847001022792136,0.3641934276888694,0.04765796661376953,0.04145158588468339,2,0.019926071166992188,0.04145211069882144,2,0.019708871841430664,0.04145211069882144,2,0.020695209503173828,0.04145211069882144,2
891,0.5412467186975966,0.2916826120605214,0.06873607635498047,0.2277903338277105,2,0.003629922866821289,0.22779189935739735,2,0.0032579898834228516,0.22779189935739735,2,0.003426074981689453,0.22779189935739735,2
892,0.07382102906323118,0.26158438469495426,0.0552220344543457,0.013519451029374603,2,0.027698993682861328,0.01351964526402297,2,0.027487993240356445,0.01351964526402297,2,0.027389049530029297,0.01351964526402297,2
893,0.9118318436365505,0.1536327180414948,0.054740190505981445,0.6843113185171409,2,0.0026149749755859375,0.6843113505915078,2,0.001990079879760742,0.6843113505915078,2,0.0019838809967041016,0.6843113505915078,2
894,0.05386594054412319,0.44414369157621025,0.06449699401855469,0.08497930081318718,2,0.018910884857177734,0.08497799284989882,2,0.01857900619506836,0.08497799284989882,2,0.018507957458496094,0.08497799284989882,2
895,0.9878752454365645,0.6489166535057007,0.09476399421691895,1.2530151881467446,2,0.004251003265380859,1.2530132831586762,2,0.003454923629760742,1.2530132831586762,2,0.0034499168395996094,1.2530132831586762,2
896,0.7295292078917209,0.08841477544068843,0.0509951114654541,0.37502108258866845,2,0.0038709640502929688,0.3750210873834195,2,0.0037000179290771484,0.3750210873834195,2,0.0036191940307617188,0.3750210873834195,2
897,0.679016847830952,0.2575862532836377,0.05914306640625,0.36317983271289644,2,0.003933906555175781,0.3631798376522557,2,0.0035479068756103516,0.3631798376522557,2,0.0034470558166503906,0.3631798376522557,2
898,0.9894666595296215,0.7872052394954888,0.04840803146362305,1.47172964008585,2,0.003923892974853516,1.4717400172893746,2,0.003709077835083008,1.4717400172893746,2,0.0035469532012939453,1.4717400172893746,2
899,0.03116767827649536,0.16694898350839038,0.0507960319519043,0.0038901113464199044,2,0.01773214340209961,0.003925710441236436,2,0.025320053100585938,0.0038900983278501366,2,0.026040077209472656,0.0038900983278501366,2
900,0.019780691015455543,0.5872402757236792,0.04063105583190918,0.19957022527929918,2,0.010864019393920898,0.26192828757634423,2,0.015828847885131836,0.19956329123941327,2,0.01631903648376465,0.19956329123941327,2
901,0.9402354654479768,0.20102250934963328,0.05313706398010254,0.7551122035480297,2,0.0040590763092041016,0.7551167103220812,2,0.003473043441772461,0.7551167103220812,2,0.0037038326263427734,0.7551167103220812,2
902,0.4825227012216088,0.5764583341179572,0.03878498077392578,0.4564224302524535,2,0.0044879913330078125,0.45642243711721514,2,0.003911018371582031,0.45642243711721514,2,0.003847837448120117,0.45642243711721514,2
903,0.931296821806658,0.9739574842914858,0.07360291481018066,1.7101585998448718,2,0.004434108734130859,1.7101615173387668,2,0.0035789012908935547,1.7101615173387668,2,0.0032231807708740234,1.7101615173387668,2
904,0.5626559112280842,0.7778316365000606,0.08151602745056152,0.7521816032723159,2,0.004954814910888672,0.7521958273622833,2,0.003804922103881836,0.7521958273622833,2,0.0037720203399658203,0.7521958273622833,2
905,0.905066622261777,0.6459826284248141,0.08568978309631348,1.0812438283210246,2,0.004724025726318359,1.0812517896927474,2,0.004027128219604492,1.0812517896927474,2,0.004196882247924805,1.0812517896927474,2
906,0.23301845627941198,0.21665691119817287,0.0849759578704834,0.02460125303486285,2,0.005612850189208984,0.02544019698214359,2,0.00430607795715332,0.0246027045848888,2,0.004572868347167969,0.0246027045848888,2
907,0.08756550310727296,0.04967470625108483,0.04587817192077637,0.0011624552991777901,2,0.01745295524597168,0.001162437880497552,2,0.01788806915283203,0.001162437880497552,2,0.01737213134765625,0.001162437880497552,2
908,0.4072951731724239,0.9763213350095655,0.07751107215881348,0.957256216707866,2,0.0033690929412841797,0.9572562234846393,2,0.0029098987579345703,0.9572562234846393,2,0.0027849674224853516,0.9572562234846393,2
909,0.07828231942077502,0.06475735290365181,0.04798102378845215,0.0011823289990242436,2,0.017529964447021484,0.0011823283682465622,2,0.016922950744628906,0.0011823283682465622,2,0.017155170440673828,0.0011823283682465622,2
910,0.9803280074740075,0.4002159861632978,0.09247899055480957,0.9594742764710865,2,0.0032470226287841797,0.9594867007583872,2,0.002928018569946289,0.9594867007583872,2,0.002656221389770508,0.9594867007583872,2
911,0.6071443511388508,0.0637025318035056,0.04604315757751465,0.22314486974160752,2,0.0038909912109375,0.2231470603650451,2,0.0032889842987060547,0.2231470603650451,2,0.003419160842895508,0.2231470603650451,2
912,0.36206168954271933,0.513891565071114,0.008179187774658203,0.3670633029968179,2,0.0032961368560791016,0.3670633029968179,2,0.0028810501098632812,0.3670633029968179,2,0.002719879150390625,0.3670633029968179,2
913,0.743203190390101,0.0557325680840689,0.05795407295227051,0.38957314391928344,2,0.005465984344482422,0.389573145620743,2,0.00423884391784668,0.389573145620743,2,0.003949880599975586,0.389573145620743,2
914,0.5445754384702117,0.07010223553270689,0.034226179122924805,0.16300333599553596,2,0.004519939422607422,0.16300334082207718,2,0.003977775573730469,0.16300334082207718,2,0.004012107849121094,0.16300334082207718,2
915,0.9921937214544305,0.48148709182933547,0.06360006332397461,1.0598500782625937,2,0.003966093063354492,1.0598488469165661,2,0.003771066665649414,1.0598488469165661,2,0.0035049915313720703,1.0598488469165661,2
916,0.8730562100202156,0.4129840041604561,0.0990610122680664,0.7636472985003916,2,0.003866910934448242,0.7636637847872146,2,0.003306150436401367,0.7636637847872146,2,0.0033769607543945312,0.7636637847872146,2
917,0.7078837306325256,0.9289351356406707,0.07658004760742188,1.2175599634528251,2,0.0035669803619384766,1.2175599684023057,2,0.0032150745391845703,1.2175599684023057,2,0.003144979476928711,1.2175599684023057,2
918,0.6514568978279297,0.6410399697908644,0.05046486854553223,0.6696590810044343,2,0.003751039505004883,0.6696590876140927,2,0.003668069839477539,0.6696590876140927,2,0.003410816192626953,0.6696590876140927,2
919,0.9935737795930742,0.989802484920225,0.04948306083679199,1.8774358224365548,2,0.003000020980834961,1.877459575636896,2,0.0024089813232421875,1.877459575636896,2,0.0024709701538085938,1.877459575636896,2
920,0.4597314100848,0.68505094026645,0.06018495559692383,0.5123400031402825,2,0.004364013671875,0.5123512737609077,2,0.003795146942138672,0.5123512737609077,2,0.0037899017333984375,0.5123512737609077,2
921,0.1617497631390693,0.6985301552294325,0.04902911186218262,0.3509453878209837,2,0.018553972244262695,0.3831683378541559,2,0.0024039745330810547,0.3509495811132042,2,0.0021250247955322266,0.3509495811132042,2
922,0.8353582591773937,0.9918438232206737,0.08767509460449219,1.5623651727636236,2,0.004284858703613281,1.5623554063169587,2,0.0037589073181152344,1.5658022020610336,2,0.003374814987182617,1.5623554063169587,2
923,0.2697941475943866,0.5904855267880667,0.04363393783569336,0.2974578522222497,2,0.0042018890380859375,0.362051416141561,2,0.0032579898834228516,0.2974616790929982,2,0.0031850337982177734,0.2974616790929982,2
924,0.7463586640289263,0.7644250608894552,0.0691370964050293,0.980699319327138,2,0.0035779476165771484,0.9807129839652475,2,0.003036975860595703,0.9807129839652475,2,0.0031490325927734375,0.9807129839652475,2
925,0.8946259906281535,0.9615973138286443,0.0726621150970459,1.6100400642391743,2,0.0042269229888916016,1.6100482742049382,2,0.003523111343383789,1.6100482742049382,2,0.003525972366333008,1.6100482742049382,2
926,0.09680047112329226,0.8898821753596772,0.0645298957824707,0.6300029428951904,2,0.026740074157714844,0.6299897341832175,2,0.02935194969177246,0.6299897341832175,2,0.02762913703918457,0.6299897341832175,2
